1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	7.046815	0.000000	0.438483	0.262234	57.6
1	6.889889	0.000000	0.438483	0.256782	2.1
2	7.890987	0.000000	0.438483	0.437491	1.2
3	7.655018	0.968214	0.419157	0.330492	1.2
4	7.697695	0.373651	0.430817	0.318853	1.4
5	7.304300	1.297442	0.412968	0.526385	1.8
6	6.334994	2.291942	0.395336	0.334623	1.3
7	6.281388	1.514398	0.408989	0.363788	1.3
8	6.980676	0.736868	0.423618	0.364799	1.7
9	6.412519	0.000000	0.438483	0.297703	1.7
10	6.997366	0.000000	0.438483	0.223251	1.3
11	8.007590	0.000000	0.438483	0.416256	1.4
12	7.171218	0.000000	0.438483	0.273857	1.5
13	6.923575	1.000000	0.418552	0.432945	2.0
14	6.997999	0.314792	0.432007	0.641232	2.1
15	7.041103	1.314792	0.412647	0.349042	1.3
16	6.853034	0.537248	0.427545	0.309643	1.4
17	7.367234	0.000000	0.438483	0.327247	2.2
18	7.913224	0.999701	0.418557	0.394698	1.3
19	6.746671	0.225582	0.433822	0.309354	1.7
20	6.773070	0.000000	0.438483	0.394890	1.3
21	6.724868	0.958107	0.419350	0.345131	1.2
22	7.529013	1.956723	0.401108	0.325335	1.2
23	7.436788	1.179231	0.415169	0.204750	1.6
24	7.315859	0.403701	0.430212	0.224621	1.2
25	6.785933	0.000000	0.438483	0.399102	1.2
26	7.360509	0.000000	0.438483	0.264979	1.9
27	7.408111	0.000000	0.438483	0.146233	1.5
28	6.923366	0.603700	0.426229	0.262882	1.6
29	7.195167	0.000000	0.438483	0.526360	1.2
30	6.854603	0.000000	0.438483	0.147475	1.6
31	7.272648	0.000000	0.438483	0.315346	1.9
32	7.417432	0.976608	0.418997	0.326196	2.0
33	7.091326	1.976604	0.400761	0.415452	1.2
34	7.187231	1.199060	0.414798	0.681589	1.5
35	6.729404	2.199060	0.396918	0.499583	1.4
36	6.440150	3.199060	0.380516	0.288434	2.0
37	6.647052	2.421516	0.393148	0.480037	1.6
38	6.434681	1.643972	0.406648	0.314410	1.4
39	6.862014	0.866427	0.421108	0.214634	1.1
40	6.742458	1.865779	0.402704	0.250697	1.2
41	7.380594	1.326619	0.412428	0.460615	1.2
42	7.381370	0.892256	0.420611	0.666181	1.4
43	6.918625	1.892256	0.402238	0.332711	1.3
44	6.694684	2.164717	0.397507	0.343965	1.2
45	6.809334	3.129588	0.381612	0.372978	1.6
46	7.176872	4.129585	0.366426	0.509903	1.4
47	6.936829	3.352041	0.378126	0.326363	1.2
48	7.644714	2.574497	0.390597	0.253711	1.5
49	6.969344	1.797799	0.403904	0.164261	1.4
50	6.333506	1.020988	0.418153	0.246584	1.2
51	6.316571	0.421789	0.429849	0.296254	1.8
52	6.559037	0.000000	0.438483	0.327726	1.7
53	6.765783	0.000000	0.438483	0.349803	1.6
54	6.374803	0.000000	0.438483	0.280217	1.2
55	5.374070	0.982282	0.418889	0.208343	2.0
56	6.799308	0.408444	0.430117	0.248686	1.9
57	6.821364	0.989097	0.418759	0.459035	2.0
58	6.537191	0.211553	0.434109	0.298195	1.2
59	6.373519	1.211553	0.414565	0.416067	1.9
60	6.234952	0.434009	0.429604	0.353138	1.6
61	6.711508	1.434008	0.410454	0.310638	1.3
62	7.320852	2.434008	0.392939	0.581152	1.2
63	6.249727	3.434008	0.376857	0.215410	1.2
64	6.676699	4.429668	0.362102	0.358870	1.4
65	6.509704	3.652154	0.373522	0.328054	1.6
66	6.432013	3.488216	0.376023	0.331980	1.6
67	5.773138	4.487754	0.361277	0.327836	1.3
68	6.733686	3.710211	0.372645	0.340044	1.2
69	5.994517	2.932858	0.384749	0.597275	1.3
70	6.822023	3.932858	0.369317	0.312033	1.3
71	5.834345	3.155320	0.381205	0.386894	1.2
72	6.885379	4.147617	0.366163	0.305872	1.5
73	6.795868	5.147608	0.352160	0.206831	1.2
74	6.198641	4.509074	0.360975	0.292714	1.7
75	6.096427	3.732605	0.372307	0.260851	1.3
76	6.730988	4.731970	0.357848	0.365736	2.0
77	6.597973	5.731961	0.344462	0.274965	1.2
78	5.587192	4.954422	0.354781	0.448022	1.9
79	6.455987	5.954422	0.341619	0.298334	1.8
80	6.314123	6.954106	0.329402	0.250292	1.2
81	6.466613	7.164298	0.326943	0.519368	1.2
82	5.987526	8.164296	0.315733	0.355523	2.1
83	6.272543	8.610131	0.310979	0.302461	1.2
84	6.608811	7.832588	0.319365	0.436020	1.3
85	6.369053	7.390718	0.324336	0.501871	1.6
86	7.131405	8.390718	0.313301	0.280479	1.4
87	6.082139	9.390545	0.302993	0.537493	1.3
88	6.271985	10.390533	0.293341	0.377953	1.5
89	6.612347	11.390533	0.284285	0.394617	1.2
90	6.730059	12.390528	0.275771	0.570157	2.1
91	6.074066	13.390528	0.267752	0.375416	1.3
92	6.581548	12.612985	0.273946	0.403086	1.3
93	5.799540	11.835524	0.280432	0.357980	1.2
94	5.693019	12.835521	0.272144	0.305013	1.2
95	6.191349	12.058102	0.278544	0.238333	1.2
96	6.258513	11.282782	0.285234	0.327599	1.2
97	6.530756	10.513029	0.292201	0.213934	1.5
98	6.384717	9.752871	0.299424	0.241803	1.2
99	6.733438	10.713271	0.290356	0.321579	1.3
100	6.475475	10.017135	0.296872	0.326074	1.3
101	6.266078	9.239600	0.304506	0.402211	1.3
102	6.487160	8.462463	0.312538	0.422343	1.2
103	6.653306	9.462463	0.302278	0.738177	1.5
104	6.174708	10.462463	0.292670	0.409261	1.3
105	6.134827	11.462463	0.283655	0.204620	1.3
106	6.866315	10.685025	0.290615	0.478578	1.7
107	6.172681	10.164465	0.295469	0.252642	1.5
108	6.267383	10.461825	0.292676	0.358206	1.2
109	6.560913	9.820332	0.298768	0.293628	1.5
110	6.454642	9.042805	0.306500	0.378386	1.4
111	5.597154	10.042738	0.296628	0.432757	1.4
112	6.196892	11.042728	0.287370	0.255413	1.2
113	6.639072	12.042408	0.278676	0.366733	1.3
114	6.085303	12.928253	0.271400	0.265286	1.3
115	6.157056	13.851465	0.264211	0.259249	1.2
116	6.839690	13.491657	0.266967	0.293152	1.3
117	6.191606	12.923374	0.271439	0.152114	2.0
118	6.487421	13.920319	0.263690	0.313915	1.2
119	6.183219	13.353177	0.268043	0.271682	1.2
120	6.038857	14.348519	0.260496	0.465408	2.1
121	6.103855	13.570981	0.266354	0.651923	1.6
122	6.179366	12.793437	0.272483	0.244411	1.2
123	6.026165	12.016281	0.278897	0.389928	2.0
124	5.791473	12.882338	0.271768	0.318480	1.3
125	6.801856	12.104794	0.278151	0.535172	1.2
126	6.525549	11.327269	0.284841	0.251003	1.4
127	6.642927	12.325053	0.276313	0.455466	2.0
128	5.653554	11.547779	0.282911	0.594072	1.4
129	6.544122	12.547554	0.274480	0.348134	1.9
130	6.380659	13.547554	0.266535	0.236313	1.5
131	5.906615	14.528275	0.259178	0.312887	2.1
132	6.114402	13.752559	0.264963	0.310323	1.7
133	6.041549	14.747509	0.257588	0.264027	1.2
134	5.343148	14.716996	0.257808	0.252322	1.3
135	5.879201	15.716961	0.250787	0.395649	1.1
136	6.323354	16.716959	0.244138	0.437688	1.6
137	6.588369	15.939421	0.249277	0.266112	2.1
138	5.984580	15.970656	0.249066	0.167280	1.3
139	6.098378	15.344408	0.253358	0.504515	2.0
140	5.985778	15.497909	0.252292	0.236276	1.3
141	6.276159	14.720366	0.257784	0.203752	1.2
142	6.305791	15.305745	0.253627	0.256401	1.2
143	5.870527	14.675183	0.258110	0.200557	1.4
144	5.733865	13.919909	0.263693	0.270418	1.3
145	5.866265	14.289640	0.260930	0.186851	1.2
146	5.825164	15.169819	0.254581	0.494924	1.4
147	6.384151	14.705157	0.257894	0.339950	1.2
148	5.976499	15.705105	0.250868	0.386731	1.3
149	6.235850	16.705009	0.244215	0.445687	1.3
150	5.657677	17.704867	0.237906	0.297334	1.8
151	5.834510	16.927323	0.242784	0.401875	2.1
152	5.595010	17.927322	0.236547	0.336392	1.6
153	6.056091	17.149778	0.241368	0.406033	1.7
154	5.483513	16.372233	0.246390	0.222994	1.2
155	6.342919	17.372221	0.239969	0.169623	1.9
156	5.549535	17.332224	0.240219	0.255087	1.5
157	5.719286	16.559816	0.245159	0.415294	1.3
158	5.829551	15.782332	0.250341	0.201025	1.3
159	6.102201	15.864783	0.249781	0.339875	1.4
160	5.849120	16.842116	0.243330	0.338407	1.7
161	5.444950	16.064611	0.248435	0.165476	1.3
162	6.170319	15.719676	0.250768	0.623487	1.9
163	6.005888	14.949981	0.256137	0.358486	1.2
164	6.020993	15.949981	0.249205	0.286752	1.7
165	5.781289	15.181273	0.254500	0.182003	1.3
166	6.305553	14.778923	0.257362	0.255125	1.5
167	6.351591	15.341085	0.253381	0.404305	1.6
168	5.863875	14.563542	0.258921	0.311512	2.1
169	6.152264	13.786003	0.264708	0.259106	1.8
170	5.508947	13.324665	0.268266	0.307336	1.3
171	6.216319	14.259648	0.261152	0.314931	1.8
172	5.803874	14.051817	0.262701	0.319128	1.2
173	5.616901	13.274344	0.268660	0.359193	1.9
174	6.504405	12.496800	0.274896	0.271936	1.2
175	6.281574	11.827517	0.280500	0.175865	1.2
176	6.978423	11.050546	0.287300	0.275143	1.6
177	5.879279	10.285296	0.294328	0.377489	1.2
178	6.125335	9.507856	0.301828	0.191381	1.3
179	5.692867	8.739504	0.309626	0.302048	2.1
180	5.871480	8.296458	0.314309	0.262354	2.1
181	6.430147	9.284022	0.304059	0.560238	1.9
182	6.234215	10.284021	0.294340	0.356962	2.0
183	5.947579	11.284021	0.285223	0.240509	1.2
184	6.077818	10.506482	0.292262	0.127438	1.2
185	5.580145	10.056854	0.296493	0.296278	1.9
186	5.998726	9.488119	0.302024	0.199182	1.2
187	5.546559	9.157527	0.305334	0.236773	1.4
188	5.976156	8.691692	0.310125	0.292948	1.4
189	6.673589	9.506395	0.301843	0.219774	1.2
190	5.407882	8.732491	0.309699	0.255725	1.2
191	5.855500	9.582796	0.301089	0.158452	1.4
192	5.409662	8.877074	0.308201	0.267262	2.1
193	6.488076	9.826350	0.298710	0.546243	1.2
194	5.303008	10.826327	0.289324	0.285233	1.8
195	5.703261	11.826327	0.280511	0.254385	1.3
196	6.441751	11.049234	0.287312	0.364234	1.3
197	5.740355	11.449769	0.283766	0.240533	1.3
198	5.561245	10.682174	0.290641	0.337787	1.2
199	5.796616	9.940982	0.297603	0.371937	1.3
200	5.457944	9.684933	0.300086	0.295891	1.2
201	5.372366	8.907469	0.307887	0.316680	1.6
202	5.703126	9.842753	0.298551	0.260889	1.2
203	5.442102	9.079746	0.306124	0.558435	1.3
204	5.612131	8.302202	0.314247	0.260253	1.2
205	5.681323	7.529293	0.322761	0.266334	1.7
206	5.545772	6.751750	0.331804	0.455089	1.2
207	6.072098	7.730448	0.320501	0.613047	1.4
208	6.115398	6.952904	0.329416	0.504454	1.3
209	6.721250	7.952904	0.318038	0.504398	1.2
210	6.192786	8.946708	0.307484	0.325648	2.1
211	5.217657	8.664085	0.310414	0.167489	1.3
212	5.850621	7.888433	0.318748	0.274712	1.4
213	5.484502	7.255721	0.325886	0.221747	2.1
214	5.500432	6.582738	0.333837	0.187350	1.2
215	5.667312	6.861351	0.330498	0.364020	1.2
216	5.541000	7.857208	0.319093	0.207525	1.2
217	5.930757	8.809923	0.308895	0.280794	1.6
218	6.190830	8.032471	0.317167	0.254832	2.0
219	5.949053	7.256529	0.325876	0.276637	1.2
220	5.783556	6.574993	0.333931	0.556133	1.2
221	6.635706	7.537391	0.322669	0.315524	1.6
222	5.625913	6.759847	0.331707	0.229266	1.2
223	6.194848	5.982319	0.341265	0.277404	1.2
