1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	46.303043	0.000000	0.011716	4.831871	65.0
1	37.344660	0.000000	0.011716	3.088620	1.3
2	39.680681	0.000000	0.011716	5.079322	1.2
3	42.493671	0.999275	0.011184	5.015990	1.3
4	45.161991	0.038106	0.011695	6.406630	1.5
5	38.792857	0.000000	0.011716	5.004437	1.7
6	42.434367	0.000000	0.011716	4.846784	1.4
7	41.975057	0.000000	0.011716	4.399041	1.4
8	40.846382	0.000000	0.011716	4.742255	1.2
9	40.667645	0.658720	0.011360	6.653588	1.9
10	42.633603	1.658416	0.010859	4.716730	1.4
11	40.618810	2.658384	0.010400	6.720734	2.1
12	42.259299	3.189193	0.010172	7.156449	1.6
13	44.117969	2.228019	0.010593	5.642475	2.2
14	43.956398	1.266846	0.011050	5.024778	1.8
15	40.930090	2.266666	0.010575	5.882016	2.0
16	40.327608	3.266665	0.010139	4.782161	1.8
17	41.550513	3.150098	0.010188	4.629933	1.2
18	43.251233	4.131906	0.009790	3.663534	2.2
19	44.036408	5.131531	0.009416	3.286458	1.2
20	38.087198	4.181297	0.009771	4.002761	1.2
21	36.364090	3.263613	0.010141	2.881296	1.3
22	39.543251	3.967110	0.009855	5.914443	2.0
23	38.040444	3.005959	0.010249	6.280026	2.2
24	43.927900	2.044808	0.010677	6.079934	1.2
25	40.809922	1.912934	0.010738	3.393241	1.2
26	41.358148	0.951816	0.011208	6.803656	1.2
27	40.562052	1.950564	0.010721	7.360615	1.3
28	41.641060	2.950561	0.010273	6.492105	1.7
29	39.072087	1.989387	0.010703	5.105189	1.3
30	44.914738	2.989377	0.010256	5.043709	1.3
31	40.486093	3.989219	0.009846	7.546332	1.4
32	42.359450	4.989219	0.009467	5.645860	1.4
33	38.224344	5.987980	0.009117	4.030904	2.0
34	37.518454	5.026901	0.009454	7.491122	1.6
35	36.201156	4.065754	0.009816	6.134951	1.2
36	41.195466	3.104580	0.010207	3.599053	1.9
37	42.348257	2.143415	0.010631	3.407746	1.8
38	41.590527	2.169347	0.010619	6.500366	1.5
39	42.118768	3.107044	0.010206	4.289355	1.9
40	40.228755	4.106689	0.009800	6.551184	1.4
41	43.675113	3.145515	0.010190	5.266922	1.3
42	38.144051	2.219788	0.010596	2.825223	1.7
43	41.974349	2.728286	0.010369	3.492029	1.2
44	40.588879	3.148895	0.010189	8.035547	1.2
45	41.158444	2.199718	0.010606	2.536270	1.2
46	40.676310	3.199718	0.010167	4.409518	1.7
47	36.522081	2.393673	0.010518	4.129537	1.2
48	38.624059	1.433003	0.010968	3.845728	1.7
49	42.772243	0.471876	0.011459	3.297524	1.5
50	40.125701	0.000000	0.011716	5.671642	1.3
51	39.550148	0.000000	0.011716	5.682529	1.6
52	41.148215	0.984801	0.011192	4.502668	1.8
53	43.647982	1.984573	0.010705	5.114331	1.3
54	41.160011	1.023507	0.011172	4.967007	1.7
55	39.745476	2.023351	0.010687	5.779992	1.2
56	41.249345	1.062177	0.011152	8.335518	1.3
57	38.477617	0.101269	0.011660	3.490591	1.3
58	40.210195	0.000000	0.011716	6.132926	1.4
59	40.443927	0.000000	0.011716	4.843723	1.2
60	38.130952	1.000000	0.011184	7.068062	1.3
61	41.189090	1.999992	0.010698	6.207492	2.0
62	38.447632	1.038819	0.011164	4.317163	1.8
63	39.084100	2.038818	0.010680	3.998058	1.6
64	39.051058	1.081314	0.011143	4.642110	1.3
65	42.053435	2.081248	0.010660	3.779944	1.3
66	37.701436	1.120210	0.011123	2.972489	1.6
67	42.877497	2.117528	0.010643	9.120188	2.1
68	40.551742	3.117516	0.010202	3.878020	1.2
69	44.605318	3.975170	0.009852	4.747562	1.2
70	43.923641	3.014063	0.010246	6.354850	1.6
71	43.217387	2.052890	0.010673	3.381082	2.0
72	37.564646	3.052880	0.010229	5.859436	1.3
73	42.491703	3.304094	0.010124	7.469656	1.2
74	39.787738	2.342920	0.010541	3.624057	1.3
75	43.185493	3.342916	0.010108	5.016003	1.4
76	36.963717	4.339682	0.009710	3.963705	1.7
77	37.982942	5.336972	0.009342	4.154571	1.8
78	37.695278	4.384009	0.009693	5.743976	1.2
79	40.135333	5.384009	0.009326	4.923202	1.3
80	37.497018	4.422840	0.009678	4.228961	1.4
81	37.063903	3.490234	0.010047	4.551145	1.2
82	40.485507	2.531018	0.010456	6.928466	1.4
83	42.851579	3.530916	0.010030	8.839158	1.9
84	40.597469	4.530916	0.009637	5.796279	1.2
85	40.343563	3.569743	0.010014	4.797138	1.3
86	39.735765	2.608661	0.010422	6.641898	1.2
87	38.441492	1.647488	0.010864	4.599276	1.2
88	39.241922	2.647487	0.010405	4.694368	1.2
89	39.618634	1.686318	0.010846	3.113762	1.3
90	45.762474	2.351380	0.010537	5.915008	2.2
91	44.778569	3.311858	0.010120	2.704864	1.4
92	40.270403	2.919579	0.010286	6.276786	1.6
93	43.655476	1.963757	0.010715	5.679254	1.5
94	42.689318	2.963753	0.010267	6.751653	1.3
95	38.595260	3.963753	0.009856	6.191410	1.7
96	39.875824	4.963728	0.009477	5.094596	1.4
97	39.282613	5.963728	0.009125	4.966023	1.2
98	40.717326	6.963649	0.008799	4.664219	1.9
