1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
106	5.474405	0.000000	0.342079	0.215684	1.2
107	7.664128	0.000000	0.342079	0.269599	2.1
108	6.490569	0.000000	0.342079	0.225489	1.3
109	6.681048	0.000000	0.342079	0.233011	1.2
110	6.860240	0.000000	0.342079	0.157225	2.0
111	6.825727	0.000000	0.342079	0.178252	1.2
112	7.157515	0.000000	0.342079	0.144015	1.2
113	6.372028	0.000000	0.342079	0.199980	1.6
114	6.720840	0.000000	0.342079	0.195587	1.9
115	6.416544	0.000000	0.342079	0.223431	1.2
116	7.272249	0.000000	0.342079	0.237512	2.1
117	6.580881	0.000000	0.342079	0.164751	1.2
118	6.414036	0.000000	0.342079	0.195696	1.5
119	6.274479	0.000000	0.342079	0.302792	1.9
120	5.801901	0.000000	0.342079	0.279759	1.3
121	5.012782	0.000000	0.342079	0.209101	1.2
122	5.153914	0.000000	0.342079	0.217360	2.0
123	5.671550	0.022711	0.341710	0.173536	1.8
124	6.597212	0.000000	0.342079	0.168003	1.4
125	5.820438	0.000000	0.342079	0.159742	1.2
126	6.921203	0.000000	0.342079	0.238369	1.2
127	5.672421	0.000000	0.342079	0.199873	1.2
128	5.650152	0.000000	0.342079	0.173849	1.2
129	5.392805	0.000000	0.342079	0.266537	1.2
130	6.826093	0.000000	0.342079	0.171032	2.0
131	5.695744	0.000000	0.342079	0.170743	1.3
132	6.824725	0.000000	0.342079	0.147865	1.9
133	5.706360	0.000000	0.342079	0.208815	1.4
134	6.009829	0.000000	0.342079	0.235927	1.2
135	5.501570	0.000000	0.342079	0.180547	1.5
136	6.427750	0.000000	0.342079	0.188897	1.4
137	6.278507	0.000000	0.342079	0.190239	2.4
138	6.642865	0.000000	0.342079	0.187595	1.2
139	5.428277	0.000000	0.342079	0.268823	1.2
140	5.408717	0.000000	0.342079	0.178474	1.9
141	6.122041	0.998663	0.326550	0.151568	1.2
142	5.754036	0.949903	0.327275	0.098833	1.3
143	5.855109	0.901158	0.328004	0.145394	1.2
144	6.312755	0.852410	0.328736	0.246161	1.5
145	5.203317	0.803626	0.329471	0.198562	1.3
146	5.820631	0.754842	0.330210	0.189314	1.6
147	6.130091	0.706091	0.330952	0.182761	1.3
148	6.493137	0.657307	0.331697	0.158625	1.9
149	6.722003	0.608523	0.332446	0.194510	1.7
150	6.271804	0.559753	0.333198	0.192235	1.3
151	5.040803	0.510969	0.333954	0.221596	1.2
152	6.281270	0.462185	0.334713	0.181620	1.3
153	6.405118	0.413401	0.335475	0.225721	1.2
154	5.595969	0.364720	0.336240	0.162420	2.0
155	5.957090	0.315936	0.337009	0.208947	1.3
156	5.671415	0.267152	0.337782	0.198233	1.2
157	6.539427	0.218367	0.338559	0.157044	2.0
158	6.051926	0.169980	0.339333	0.187064	1.2
159	4.971914	0.123082	0.340086	0.164117	1.2
160	5.658225	0.075279	0.340857	0.218003	1.2
161	6.160798	0.026495	0.341648	0.187711	1.2
162	5.090465	0.000000	0.342079	0.211196	2.0
163	6.715908	0.000000	0.342079	0.264130	1.3
164	4.865808	0.000000	0.342079	0.157694	1.2
165	5.596804	0.000000	0.342079	0.203484	1.5
166	5.840669	0.000000	0.342079	0.165784	1.4
167	6.278199	0.000000	0.342079	0.163204	1.8
168	5.780580	0.000000	0.342079	0.230659	1.8
169	6.057322	0.000000	0.342079	0.187099	1.2
170	5.666271	0.000000	0.342079	0.258060	1.2
171	5.854898	0.000000	0.342079	0.263716	1.2
172	6.104179	0.000000	0.342079	0.291935	1.3
173	5.924828	0.000000	0.342079	0.180347	1.3
174	4.727098	0.000000	0.342079	0.177019	2.2
175	5.917827	0.000000	0.342079	0.229676	1.3
176	5.918188	0.000000	0.342079	0.172560	1.3
177	4.986206	0.000000	0.342079	0.110327	2.3
178	6.221395	0.000000	0.342079	0.156569	1.2
179	4.965522	0.000000	0.342079	0.207322	1.4
180	6.087823	0.000000	0.342079	0.191002	1.3
181	5.559364	0.000000	0.342079	0.172205	1.2
182	4.913799	0.000000	0.342079	0.122356	1.5
183	6.180708	0.000000	0.342079	0.207911	1.3
184	5.051436	0.000000	0.342079	0.255592	1.2
185	5.172641	0.000000	0.342079	0.149618	1.5
186	4.907271	0.000000	0.342079	0.225421	1.5
187	5.511721	0.000000	0.342079	0.154940	1.2
188	5.286850	0.000000	0.342079	0.196473	1.5
189	4.529499	0.000000	0.342079	0.144745	1.2
190	5.294888	0.000000	0.342079	0.232801	1.4
191	3.877313	0.000000	0.342079	0.198072	1.3
192	5.501846	0.000000	0.342079	0.149454	1.2
193	5.457836	0.000000	0.342079	0.129663	1.2
194	4.388453	0.000000	0.342079	0.224505	1.6
195	5.307265	0.000000	0.342079	0.191058	1.3
196	4.636482	0.000000	0.342079	0.179037	1.2
197	5.534204	0.000000	0.342079	0.168926	1.2
198	4.672927	0.000000	0.342079	0.222650	1.3
199	5.145325	0.000000	0.342079	0.172329	1.2
200	5.214820	0.000000	0.342079	0.218106	1.6
201	5.028339	0.000000	0.342079	0.162327	2.0
202	5.412210	0.000000	0.342079	0.181217	1.5
203	5.902983	0.000000	0.342079	0.263150	2.1
204	4.249075	0.000000	0.342079	0.156361	2.1
205	4.383067	0.000000	0.342079	0.123127	2.6
206	4.269441	0.000000	0.342079	0.182505	2.1
207	4.315674	0.000000	0.342079	0.189474	2.1
208	4.604807	0.000000	0.342079	0.139844	1.3
209	4.715469	0.000000	0.342079	0.214592	1.2
210	4.623496	0.000000	0.342079	0.148233	1.4
211	5.189358	0.000000	0.342079	0.178947	2.2
212	4.785214	0.000000	0.342079	0.141706	1.7
213	5.926727	0.000000	0.342079	0.210060	1.2
214	4.434329	0.000000	0.342079	0.162833	1.5
215	4.767612	0.000000	0.342079	0.174566	1.2
216	4.345915	0.000000	0.342079	0.183302	1.6
217	4.256872	0.000000	0.342079	0.163355	1.6
218	4.802958	0.000000	0.342079	0.240602	1.2
219	5.057673	0.000000	0.342079	0.167867	1.9
220	5.683203	0.000000	0.342079	0.184988	1.2
221	4.343139	0.000000	0.342079	0.170010	1.2
222	4.273092	0.233448	0.338318	0.148816	1.2
223	4.490306	0.184686	0.339097	0.157787	2.0
224	5.179256	0.135903	0.339880	0.203010	1.2
225	5.301801	0.087119	0.340666	0.149130	1.7
226	4.844639	0.038334	0.341456	0.187402	2.0
227	5.172126	0.000000	0.342079	0.158588	1.9
228	4.331088	0.000000	0.342079	0.220578	1.6
229	4.274451	0.000000	0.342079	0.215180	1.2
230	4.741045	0.000000	0.342079	0.247327	2.1
231	4.336612	0.000000	0.342079	0.219885	1.6
232	4.241215	0.000000	0.342079	0.169039	1.2
233	3.689982	0.000000	0.342079	0.259169	1.3
234	4.864773	0.000000	0.342079	0.206128	2.1
235	4.498063	0.385819	0.335908	0.207532	1.9
236	4.770187	0.342847	0.336584	0.173923	1.2
237	3.748549	0.300729	0.337250	0.205443	1.2
238	4.376566	0.259988	0.337896	0.144790	1.2
239	4.565975	0.211204	0.338673	0.163394	1.2
240	4.606347	0.162427	0.339454	0.200284	1.2
241	5.211771	0.113643	0.340238	0.198651	1.2
242	4.421635	0.065370	0.341018	0.175275	2.0
243	4.466694	0.016586	0.341809	0.229721	1.6
244	3.935499	0.000000	0.342079	0.190824	1.2
245	4.417373	0.000000	0.342079	0.161388	2.1
246	3.531046	0.000000	0.342079	0.202933	1.4
247	3.744524	0.000000	0.342079	0.161773	1.2
248	4.906009	0.000000	0.342079	0.239352	1.3
249	3.862789	0.000000	0.342079	0.174402	1.7
