1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
106	1.622056	4.311097	0.416386	0.143799	1.5
107	1.928656	4.840667	0.407853	0.170171	1.6
108	2.332610	4.621533	0.411341	0.121525	1.4
109	2.173794	4.346999	0.415796	0.228169	1.4
110	1.801235	4.109377	0.419731	0.093311	1.4
111	1.858555	4.069143	0.420405	0.138195	1.5
112	1.815765	3.907648	0.423131	0.127580	1.4
113	1.607482	3.643118	0.427673	0.165898	1.4
114	1.785491	3.501248	0.430149	0.156490	1.5
115	1.600572	3.767517	0.425525	0.090991	1.4
116	1.824214	3.543926	0.429401	0.067652	1.4
117	1.966258	3.347144	0.432872	0.133041	1.4
118	1.646832	3.219927	0.435145	0.113970	1.6
119	2.099540	2.953993	0.439976	0.319993	1.4
120	1.900761	2.828451	0.442294	0.071530	1.4
121	1.672431	3.480032	0.430522	0.099785	1.4
122	1.835320	3.274415	0.434169	0.131828	1.5
123	1.841966	3.364677	0.432560	0.093312	1.4
124	2.013119	3.906183	0.423156	0.059211	1.4
125	2.170712	3.994501	0.421660	0.188235	1.4
126	1.956758	3.931808	0.422721	0.136778	1.5
127	1.796084	4.924851	0.406529	0.117592	1.4
128	1.599405	4.783541	0.408757	0.096677	1.4
129	1.781571	4.734071	0.409542	0.152207	1.4
130	1.898196	4.620544	0.411357	0.107822	1.5
131	1.891229	5.463430	0.398255	0.183890	1.4
132	2.173672	5.188269	0.402439	0.158911	1.4
133	1.957113	5.944098	0.391150	0.207250	1.5
134	1.645451	6.943392	0.377162	0.087490	1.4
135	1.946487	6.868869	0.378171	0.079623	1.4
136	2.093436	6.731249	0.380047	0.129450	1.4
137	1.613004	6.777656	0.379413	0.143444	1.5
138	1.703756	6.513805	0.383051	0.091473	1.4
139	1.729133	7.110615	0.374919	0.100254	1.4
140	1.710843	6.922789	0.377441	0.154206	2.3
141	2.159767	7.704072	0.367167	0.239810	2.3
142	1.834821	7.431751	0.370684	0.098612	2.0
143	2.116204	7.157481	0.374295	0.244628	2.3
144	1.697960	7.229305	0.373342	0.127331	2.5
145	2.234794	6.957018	0.376978	0.200342	2.9
146	1.739957	7.910329	0.364548	0.211254	1.9
147	2.032051	7.636818	0.368029	0.215874	3.0
148	1.837256	7.359911	0.371623	0.086061	1.9
149	1.658536	7.866831	0.365097	0.090378	1.5
150	1.940596	7.661379	0.367714	0.104414	2.1
151	1.714748	7.739030	0.366721	0.109975	1.4
152	1.670354	7.674172	0.367550	0.117343	1.4
153	1.742984	8.221151	0.360670	0.142528	1.4
154	1.797597	7.971390	0.363779	0.094347	1.5
155	1.679216	8.792291	0.353756	0.082848	1.4
156	1.677215	8.692821	0.354941	0.089970	1.4
157	1.869960	8.526041	0.356946	0.081260	1.7
158	2.019327	8.941119	0.351997	0.198635	2.6
159	2.071777	9.263507	0.348248	0.180673	2.6
160	2.248451	9.022330	0.351045	0.120955	1.5
161	2.062071	9.937867	0.340657	0.120209	1.4
162	1.735773	9.865852	0.341452	0.109899	1.4
163	1.895597	9.873285	0.341369	0.129121	1.5
164	1.856214	9.604896	0.344363	0.098112	1.4
165	1.878461	10.433587	0.335284	0.102601	1.6
166	1.585842	11.190946	0.327396	0.186209	2.1
167	2.054758	11.094513	0.328380	0.062585	1.6
168	2.152550	10.916801	0.330208	0.066017	1.5
169	1.672236	10.987667	0.329477	0.089366	1.5
