1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	8.224251	0.000000	0.034363	9.041964	167.1
1	9.737836	0.000000	0.034363	10.190441	1.9
2	7.937473	0.996789	0.032806	3.669374	2.2
3	3.835911	0.589949	0.033424	2.380566	2.3
4	5.337098	0.183794	0.034065	6.925988	1.9
5	5.329416	0.429069	0.033675	3.290364	1.9
6	4.436544	1.422408	0.032183	3.318960	2.0
7	3.243486	1.015589	0.032778	2.793376	1.9
8	4.161146	0.608957	0.033395	1.794507	2.0
9	2.706917	0.251882	0.033956	2.334041	2.9
10	6.370216	0.000000	0.034363	3.779750	2.0
11	5.662566	0.000000	0.034363	5.720680	2.5
12	3.573418	0.995106	0.032809	3.500996	1.9
13	5.563786	1.995103	0.031382	4.506497	1.9
14	4.798030	2.994973	0.030074	3.760434	1.9
15	4.802708	3.383676	0.029595	3.094662	1.9
16	3.756086	4.317411	0.028503	3.341824	1.9
17	4.450347	3.910643	0.028969	2.384320	1.9
18	5.182277	3.505114	0.029448	2.348895	1.9
19	3.796855	4.048255	0.028810	2.517397	2.0
20	2.981786	3.668922	0.029253	1.254178	1.9
21	5.272529	3.390168	0.029587	4.302658	1.8
22	3.004491	4.259581	0.028568	2.108686	2.2
23	9.133903	5.023202	0.027730	14.649576	5.2
24	2.910361	4.616361	0.028171	0.821555	3.1
25	5.311078	4.588199	0.028202	5.533596	1.9
26	6.503569	4.909586	0.027852	7.762996	1.9
27	5.266182	4.502746	0.028296	2.076888	1.8
28	2.799162	5.470283	0.027262	0.868527	1.9
29	5.307047	5.336532	0.027400	6.531273	1.9
30	3.779538	4.988976	0.027767	1.824697	1.8
31	2.523658	4.666848	0.028115	1.727845	1.9
32	2.803198	4.509540	0.028289	1.788762	1.8
33	4.092093	4.520110	0.028277	1.319244	1.8
34	3.099189	4.198996	0.028637	1.629599	1.9
35	4.924686	3.951081	0.028922	2.872156	1.8
36	3.337999	4.436596	0.028370	1.378962	1.8
37	4.038996	4.119972	0.028727	2.244828	1.9
38	3.463930	4.098961	0.028751	4.214704	1.8
39	3.526428	3.695036	0.029222	3.771356	1.8
40	2.447363	4.694971	0.028084	1.200709	2.0
41	3.221414	4.569553	0.028222	4.474893	1.8
42	2.086722	5.521392	0.027209	0.716021	1.8
43	4.472050	5.183149	0.027561	3.453766	2.1
44	4.659175	5.232543	0.027509	4.252661	1.9
45	3.330716	6.003432	0.026724	3.296758	1.8
46	3.357749	7.003402	0.025769	1.647715	1.9
47	5.139522	6.601498	0.026145	5.873674	1.8
48	3.204871	6.194734	0.026536	2.175542	1.9
49	2.752383	6.377131	0.026359	1.947699	2.0
50	3.176026	5.980487	0.026746	3.213736	1.8
51	4.085098	5.679784	0.027048	2.255506	1.8
52	3.215903	5.280251	0.027459	1.410650	2.0
53	3.088027	5.284329	0.027455	3.226106	1.9
54	3.270406	5.065441	0.027685	2.562770	1.8
55	3.917167	4.660251	0.028122	1.972937	2.0
56	4.482656	4.355490	0.028460	5.981888	1.9
57	3.264336	5.288990	0.027450	2.413410	1.9
58	7.373458	6.288967	0.026444	12.459831	2.0
59	5.189400	7.288966	0.025509	7.043003	1.9
60	3.117653	8.288966	0.024638	2.502594	1.8
61	2.408407	7.882183	0.024985	1.043540	1.9
62	2.711456	7.878566	0.024988	2.617663	1.9
63	4.408369	8.055640	0.024836	1.539564	1.8
64	3.278928	7.797682	0.025059	2.410844	1.9
65	3.151535	8.197255	0.024716	3.427526	1.8
66	2.562015	7.794221	0.025062	1.606503	1.8
67	3.403168	8.714136	0.024286	3.967196	2.1
68	2.591041	8.312212	0.024619	1.747011	1.8
69	5.027602	7.906066	0.024965	1.787612	2.0
70	4.015338	7.549425	0.025276	7.663127	1.9
71	3.275700	8.549387	0.024421	3.139961	1.8
72	3.059096	9.549387	0.023622	1.618408	1.8
73	2.345632	10.026844	0.023258	2.155812	1.9
74	6.340298	9.694086	0.023510	5.199574	1.9
75	3.547255	10.111531	0.023195	3.419031	1.9
76	4.301271	9.824709	0.023411	3.803283	1.8
77	4.203494	9.419243	0.023723	2.594468	1.8
78	3.338442	10.075720	0.023222	1.493583	1.9
79	2.692466	9.698102	0.023507	3.050931	1.8
80	3.571124	9.295678	0.023820	1.964535	1.8
81	3.226651	8.893442	0.024140	1.342003	1.9
82	2.161554	9.242549	0.023861	1.240813	1.8
83	2.733850	9.304627	0.023812	2.132897	1.8
84	3.451570	9.701871	0.023504	3.043078	1.8
85	2.780662	9.822089	0.023413	2.938081	1.8
86	2.983129	9.415762	0.023725	1.336048	1.8
87	2.254033	9.287726	0.023826	1.717916	2.0
88	5.297610	9.106148	0.023969	1.822676	1.8
89	2.812680	9.443199	0.023704	1.995469	1.9
90	3.041649	9.818120	0.023416	1.398590	1.9
91	3.355335	9.537295	0.023631	2.310910	1.8
92	2.316130	9.917670	0.023340	1.234284	1.8
93	2.536050	10.052056	0.023239	1.978240	2.0
94	2.541171	9.708349	0.023499	2.941548	1.8
95	5.783554	9.496352	0.023663	4.678778	1.8
96	2.403208	10.496341	0.022911	0.846453	1.9
97	2.426092	11.275866	0.022358	1.053864	1.8
98	1.817888	11.220809	0.022396	1.493201	1.8
99	3.380074	11.435439	0.022248	4.059549	1.9
100	3.182674	11.044017	0.022520	2.574869	1.8
101	3.155066	12.043348	0.021839	1.998095	1.8
102	3.507415	12.452018	0.021572	1.935627	1.9
103	2.769156	12.153556	0.021766	4.384266	1.8
104	3.022086	11.751124	0.022034	1.576600	1.8
105	3.770702	11.422825	0.022257	2.986557	2.2
106	4.755591	11.022654	0.022535	2.238354	1.8
107	3.431751	10.619124	0.022823	3.150934	1.8
108	2.921590	11.522459	0.022189	2.166965	2.0
109	6.251591	11.118695	0.022468	8.118665	2.0
110	3.179438	12.118695	0.021789	2.578580	1.9
111	2.896619	13.118695	0.021151	2.451345	1.9
112	5.344345	12.912433	0.021279	9.001357	1.8
113	2.781292	12.505593	0.021538	1.368741	1.8
114	4.111973	13.448555	0.020948	1.687715	2.2
115	3.441280	13.734167	0.020776	1.873764	2.7
116	2.777424	13.600431	0.020856	1.840754	2.8
117	4.485128	14.446424	0.020358	2.737105	3.0
118	3.218874	14.043252	0.020593	3.184664	3.1
119	3.610385	13.636476	0.020834	4.097589	2.9
120	2.867832	14.635945	0.020250	1.734245	3.4
121	3.399910	15.383585	0.019834	4.101864	1.9
122	2.685117	15.810748	0.019604	1.343288	3.1
123	2.984551	16.333550	0.019329	3.297348	2.9
124	2.601236	16.028220	0.019489	1.720407	2.5
125	3.378364	16.988076	0.018996	2.453437	2.1
126	2.923368	16.611879	0.019186	1.209525	2.0
127	2.902395	16.345429	0.019323	2.445857	2.3
128	4.420248	16.161773	0.019419	3.275627	2.5
129	2.379962	17.040444	0.018970	1.346064	3.5
130	3.740747	17.901024	0.018550	2.590228	2.5
131	3.589632	17.961666	0.018521	1.968242	2.7
132	2.908988	18.916414	0.018078	0.390488	1.9
133	1.993919	18.851467	0.018108	0.871354	1.9
134	4.731306	18.902120	0.018085	3.804798	1.8
135	3.520240	18.578715	0.018233	2.455245	1.8
136	2.173218	18.171907	0.018422	2.438828	2.9
137	1.827331	19.154304	0.017971	0.821761	1.9
138	3.068843	19.533531	0.017803	3.689898	2.1
139	4.041225	19.876428	0.017654	2.189038	2.6
140	2.552219	20.868139	0.017236	1.321410	1.9
141	2.388413	21.388342	0.017024	0.997758	1.8
142	3.232294	21.672966	0.016911	2.351552	1.8
143	3.608440	21.709758	0.016896	2.300893	2.2
144	2.189745	21.608608	0.016936	1.259659	2.2
145	4.159435	21.224758	0.017090	2.132908	1.8
146	3.280526	21.905719	0.016819	3.866085	1.9
