1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
106	6.251583	32.343115	0.023434	5.212039	2.0
107	5.082982	32.764633	0.023250	0.600022	1.9
108	5.979398	32.815390	0.023228	2.284277	2.0
109	6.143230	33.117246	0.023098	3.696856	2.7
110	7.120835	34.105045	0.022684	2.998920	2.0
111	9.242318	33.899866	0.022769	2.358374	2.0
112	8.923026	33.497867	0.022937	5.315256	2.0
113	6.479221	32.977640	0.023158	4.386950	2.0
114	5.709768	32.743478	0.023259	1.439125	2.0
115	6.834858	32.808543	0.023231	3.800680	1.9
116	8.345306	32.329662	0.023439	5.207846	1.9
117	13.198119	31.789266	0.023679	9.882820	1.9
118	7.467602	32.789266	0.023239	2.964650	1.9
119	6.925997	33.789206	0.022815	2.098312	2.0
120	4.752446	34.535687	0.022508	1.391781	2.0
121	5.266753	34.249948	0.022625	1.739665	1.9
122	7.174004	33.999960	0.022728	3.097698	2.0
123	6.644622	33.982672	0.022735	1.663540	1.9
124	6.913729	34.494992	0.022525	5.426546	1.9
125	5.670440	33.957394	0.022745	0.502819	2.0
126	5.698130	33.709901	0.022848	2.236130	1.9
127	6.456144	33.817365	0.022803	2.523891	1.9
128	6.298149	34.597701	0.022483	1.571910	2.0
129	6.847773	34.652538	0.022461	2.315271	2.0
130	7.671360	35.122294	0.022273	2.539366	2.0
131	9.683325	35.559993	0.022101	7.886451	1.9
132	9.158208	35.680307	0.022054	6.607988	2.0
133	5.845496	35.139890	0.022266	2.810022	2.0
134	5.975695	36.139882	0.021876	2.073118	2.0
135	5.242758	36.260779	0.021830	2.388405	2.0
136	6.711873	36.023669	0.021921	3.607022	1.9
137	5.948113	35.493708	0.022127	3.342065	2.0
138	7.155800	35.992040	0.021933	2.398203	2.0
139	7.413162	36.969678	0.021563	2.957924	2.0
140	5.363210	37.668001	0.021307	2.002624	2.0
141	5.979349	38.610752	0.020970	2.908032	1.9
142	6.978634	38.097291	0.021152	1.915104	2.1
143	5.869733	39.046348	0.020818	2.035807	2.0
144	6.263017	39.027623	0.020824	3.777166	2.0
145	5.534859	38.535634	0.020996	1.368605	2.0
146	4.630474	39.285471	0.020735	2.669177	2.0
147	6.886262	39.403676	0.020694	2.552987	2.0
148	6.034707	38.894613	0.020870	1.374429	1.9
149	5.669074	38.503126	0.021008	1.311228	2.7
150	7.407775	38.970451	0.020844	6.788106	2.1
151	7.761418	38.434875	0.021032	2.795565	1.9
152	6.944437	39.381157	0.020702	1.587377	2.0
153	6.288855	40.160388	0.020438	2.489199	1.9
154	7.868832	40.217783	0.020419	2.876623	2.0
155	5.654611	39.848218	0.020543	2.900556	1.9
156	10.387934	40.839353	0.020214	3.791543	2.0
157	6.115609	40.769244	0.020237	2.386734	2.0
158	6.647828	41.538181	0.019988	2.221666	2.0
159	7.963366	42.331009	0.019738	3.569021	2.0
160	6.636500	42.149258	0.019795	1.073647	2.0
161	5.487947	41.688396	0.019940	1.864812	2.0
162	7.539301	41.442922	0.020019	1.984519	1.9
163	5.749774	42.076876	0.019817	2.000329	2.3
164	4.712012	41.631781	0.019958	1.725365	2.0
165	6.886425	41.851526	0.019888	3.193858	2.0
166	6.118223	42.794070	0.019595	2.071973	2.0
167	7.293518	42.262374	0.019759	2.656243	1.9
168	6.297030	42.449862	0.019701	1.355545	2.0
169	6.130827	42.093113	0.019812	2.574796	2.0
170	6.003724	41.621483	0.019961	1.307899	2.0
171	6.272629	41.239095	0.020084	1.907964	1.9
172	7.005715	40.899161	0.020194	1.654416	1.9
173	7.176522	40.971994	0.020171	3.676346	1.9
174	6.451402	41.880161	0.019879	2.459973	1.9
175	6.953679	42.360703	0.019729	4.795553	1.9
176	7.451650	43.343749	0.019427	3.214305	2.0
177	6.018468	43.603230	0.019349	2.783315	2.0
178	7.019308	44.562451	0.019066	5.072627	2.0
179	7.612577	44.123729	0.019194	3.583099	1.9
180	7.070939	43.588694	0.019353	2.150640	1.9
181	7.198375	44.190387	0.019175	3.735265	1.9
182	9.260978	44.300639	0.019142	4.122827	1.9
183	5.287135	45.300544	0.018854	2.084174	1.9
184	6.522465	45.721542	0.018735	2.739841	2.0
185	6.152213	46.422831	0.018540	3.227658	2.0
186	8.317318	45.892834	0.018687	3.946159	2.0
187	6.207716	45.352619	0.018839	2.868134	1.9
188	4.858165	46.154730	0.018614	3.704575	2.0
189	10.543302	46.807989	0.018435	0.957240	1.9
190	6.692292	46.506353	0.018517	6.107255	2.0
191	5.836874	45.989094	0.018660	1.180401	2.0
192	6.719570	46.957175	0.018394	2.055269	2.0
193	5.336891	46.614835	0.018487	1.328181	2.0
194	6.689178	46.188188	0.018605	1.053463	2.0
195	6.627200	46.343106	0.018562	4.260512	2.0
196	6.586162	46.413755	0.018542	2.481431	2.0
197	7.716908	46.498745	0.018519	6.035131	2.0
198	6.821923	46.232028	0.018593	4.736947	2.0
199	9.141156	47.215926	0.018324	2.036144	2.0
200	8.167993	46.759339	0.018448	3.351141	2.0
201	6.193264	47.721371	0.018190	2.051957	2.0
202	6.088193	47.200309	0.018329	4.117141	1.9
203	5.996467	46.767505	0.018446	2.316731	1.9
204	8.597515	47.691349	0.018198	2.456828	2.0
205	5.792498	48.615518	0.017956	0.794621	2.0
206	5.235040	48.412243	0.018009	2.857070	2.0
207	9.233433	48.655115	0.017946	6.432915	2.0
208	8.156347	49.655072	0.017692	1.338869	2.0
